Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
New Caledonia,0,22.27,3.66,0,5.1,1.04,0.84,0.22,11.61,0.29,5.05,0.08,3.3,0.03,0.06,0.03,1.4,0,0,0.26,27.73,16.85,0.19,0,7.1,0,0,0,0,295000
New Zealand,0,34.13,13.98,0,1.33,1.21,0.65,0.3,13.94,0,4.29,0.06,2.02,0.08,0.09,0.07,0.09,0,0,1.34,15.87,10.27,0.28,32,0,0.05,0,0.04,0,4987000
Nicaragua,0,17.99,2.33,0,9.24,1.01,0.42,0.13,7.61,0.11,6.51,0.11,1.92,0.46,0.01,0.1,0.43,0,0,0.03,32.01,19.4,0.18,21.8,17,0.1,0,0.06,0.03,6596000
Niger,0,10.98,2.66,0,12.44,0.06,0.14,0.24,3.63,0.01,4.32,0.18,13.42,1.44,0.35,0.05,0.03,0,0,0,39.03,10.59,0.44,4.7,16.5,0.02,0,0.02,0,24189000
Nigeria,0,5.02,0.81,0,7.11,0.58,0.6,0.34,2.48,0.01,0.46,0.09,4.39,0.42,0.47,1.26,0.04,0,0,0.23,44.98,30.15,0.55,7.8,13.4,0.07,0,0.05,0.01,206140000
North Macedonia,0,19.64,7.13,0,1.9,0.73,0.24,0.41,6.54,0.04,4.85,0.15,2.02,0.14,0.49,0.08,1.71,0,0,1.17,30.36,21.66,0.75,23.9,3.2,4.55,0.14,4.03,0.38,2080000
Norway,0,27.22,6.44,0,1.96,1.06,1.55,0.41,10.7,0.32,7.4,0.05,1.7,0.09,0.05,0.05,1.68,0,0,0.89,22.78,15.46,0.17,25,0,1.2,0.01,0.33,0.86,5387000
Oman,0,23.61,2.37,0,3.77,1.44,0.93,0.79,9.02,0.03,9.64,0.21,1.12,0.17,0.73,0.04,1.1,0,0,0.61,26.38,17.45,0.58,22.9,6.8,2.87,0.03,2.7,0.13,4713000
Pakistan,0,24.82,8.97,0,4.21,0.62,0.08,0.12,3.5,0.01,11.51,0.14,1.09,0.27,0.22,0.03,0.02,0.06,0,0.19,25.18,18.86,0.08,7.8,20.3,0.25,0.01,0.23,0.01,220940000
Panama,0,25.96,9.19,0,3.84,0.9,0.86,0.57,9.1,0.13,5.73,0.18,1.43,0.15,0.04,0.06,1.04,0,0,0.43,24.03,16.24,0.13,22.5,10,7.62,0.13,6.77,0.72,4283000
Paraguay,0,19.81,3.88,0,4.98,1.56,0.17,0.4,10.23,0.03,3.71,0.26,2.06,0.21,0.02,0.56,0.53,0,0,0.02,30.19,21.27,0.12,19,10.7,1.9,0.04,1.56,0.3,7255000
Peru,0,18.04,1.11,0,5.59,2.12,1.95,1.64,6.82,0.03,5.61,0.43,2.56,0.6,0.07,0.68,0.45,0,0,0.23,31.96,19.65,0.45,19.1,9.7,3.57,0.13,3.31,0.14,32824000
Philippines,0,29.76,7.37,0,3.47,1.05,1.6,0.72,18.89,0.03,0.57,0.28,2.24,0.06,0.06,0.22,0.36,0,0.02,0.77,20.24,11.93,0.36,6,13.3,0.49,0.01,0.45,0.03,109581000
Poland,0,32.75,12.37,0,1.62,0.71,0.49,0.21,13.31,0,5.86,0.01,0.5,0.03,0.04,0.11,0.07,0,0,0.44,17.25,13.97,0.26,25.6,0,4.03,0.1,3.39,0.53,38368000
Portugal,0,26.46,9.6,0,2.18,0.8,1.03,0.28,10.35,0.01,4.54,0.14,0.42,0.07,0.04,0.06,1.35,0,0,0.76,23.54,18.08,0.28,23.2,0,7.43,0.14,5.85,1.45,10255000
Republic of Moldova,0,26.52,6.86,0,2.56,1.55,0.69,0.3,9.78,0.07,7.53,0.12,0.28,0.03,0.01,0.09,0.83,0,0,0.11,23.47,18.84,0.36,20.1,0,4.65,0.1,4.33,0.21,3535000
Romania,0,27.44,6.9,0,2.55,1.59,0.2,0.29,7.99,0.04,10.63,0.12,0.55,0.04,0.5,0.11,0.85,0,0,0.68,22.56,16.51,0.45,24.5,0,3.86,0.1,3.58,0.18,19241000
Russian Federation,0,27.94,7.2,0,1.65,1.96,0.94,0.21,10.84,0.01,6.85,0.15,0.78,0.05,0.03,0.14,0.42,0,0,0.13,22.06,18.38,0.26,25.7,0,2.66,0.05,2.32,0.3,146733000
Rwanda,0,11.07,1.04,0,4.85,0.16,0.64,9.67,5.22,0.02,3.78,0.24,3.65,2.69,0.05,2.16,0.05,0,0,0.02,38.91,15.51,0.25,4.8,36.8,0.13,0,0.09,0.03,12952000
Saint Kitts and Nevis,0,24.3,4.74,0,2.06,0.56,0.73,0.36,14.35,0.14,3.79,0.12,2.9,0.15,0.21,0.05,0.18,0,0,0.52,25.7,19,0.12,23.1,0,0.07,0,0.07,0.01,54000
Saint Lucia,0,33.35,3.81,0,1.67,0.52,1.59,0.37,22.88,0.16,4.31,0.24,2.4,0.18,0.42,0.1,0.99,0,0,0.56,16.65,9.65,0.15,19.8,0,1,0.01,0.48,0.51,182000
Saint Vincent and the Grenadines,0,24.47,1.09,0,4.33,0.76,0.72,0.75,17.53,0.23,4.25,0.13,0.68,0.28,1.29,0.18,1.72,0,0,0.45,25.53,15.39,0.25,23.8,5.7,1.08,0,0.36,0.72,111000
Samoa,0,21.68,4.78,0,1.58,0.22,1.9,0.63,13.24,0.07,1.47,0.07,16.87,0,0.12,0.33,0.29,0,0,0.06,28.32,8.33,0.04,45.5,2.7,0,0,0,0,200000
Sao Tome and Principe,0,7.33,0.62,0,2.99,0.11,1.44,1.2,4.18,0.05,0.97,0.01,20.77,0.13,0.03,0.15,0.07,0,0,0.03,42.66,17.17,0.07,10.6,7,0.64,0.01,0.5,0.13,210000
Saudi Arabia,0,15.4,2.65,0,5.21,0.9,0.41,0.42,6.92,0.09,4.41,0.1,0.62,0.18,0.48,0.03,1.25,0,0,0.71,34.61,25.42,0.19,35,7.1,1.06,0.02,1.03,0.01,35041000
Senegal,0,6.1,0.79,0,5.74,0.26,0.71,0.08,3.23,0.01,0.98,0.12,3.9,0.12,0.17,0.05,0.2,0,0,0.39,43.9,33.04,0.19,7.4,11.3,0.17,0,0.14,0.03,16744000
Serbia,0,33.04,4.07,0,2.12,1.52,0.34,0.58,18.14,0.01,8.76,0.21,1.13,0.08,0.08,0.06,1.5,0,0,0.94,16.96,10.11,0.36,23.5,5.7,5.84,0.06,0,5.78,6957000
