Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
El Salvador,0.12,17.34,0.05,0,20.59,1.59,1.47,0.8,6.9,7.04,0.31,1.37,6.84,0.03,0.76,0.29,0,0,0.03,32.65,0.03,1.5,0.31,22.7,9,0.87,0.03,0.78,0.06,6481000
Estonia,0.59,28.6,0.22,0,15.08,1.71,1.74,0.5,8.81,15.42,0.7,0.19,0.86,0.17,1.36,0.75,0,0,0.36,21.4,0.02,1.47,0.05,23.8,2.9,3.57,0.03,2.83,0.71,1331000
Eswatini,0.6,14.77,0.05,0,27.01,0.41,0.93,0.74,8.84,3.41,1.13,1.31,1.85,0.43,2,0.15,0,0,0.18,35.24,0,0.77,0.19,13.5,20.6,1.47,0.05,1.04,0.37,1104000
Ethiopia,0.17,4.46,0.01,0,29.73,0.1,0.11,0.11,1.68,2.19,0.37,0.81,10.75,0.77,2.35,0.3,0,0,0.08,45.55,0,0.46,0.01,3.6,20.6,0.12,0,0.11,0.01,114916000
Fiji,0.22,21.11,0.24,0,16.83,0.84,6.33,0.3,10.15,2.73,0.81,1.87,4.69,0.18,2.78,0.34,0,0,0.06,28.89,0.02,1.5,0.08,30,3.7,0.01,0,0.01,0,896000
Finland,0.48,31.22,0.25,0,13.08,1.16,3.83,0.54,11.11,14.37,0.5,0.35,0.31,0.04,1.11,1.08,0,0,0.18,18.78,0.06,1.1,0.43,24.9,0,0.85,0.01,0.56,0.28,5529000
France,0.18,31.08,0.27,0,13.5,1.6,3.91,0.65,12.87,11.16,1.27,0.41,0.51,0.04,0.98,0.74,0,0,0.36,18.92,0.01,1.48,0.05,23.2,0,5.2,0.12,0.37,4.71,64940000
French Polynesia,0.38,33,0.2,0.02,10.71,1.17,7.04,0.39,18.87,4.77,0.92,1.06,0.66,0.03,0.9,0.35,0.03,0,0.12,17,0.02,1.26,1.11,0,4.2,0,0,0,0,280000
Gabon,0.7,24.34,0.02,0,15.13,0.17,5.28,1.65,14.69,1.71,2.47,3.33,0.07,0,3.32,0.1,0.01,0,0.01,25.66,0.01,0.94,0.4,13.4,10.5,0.51,0,0.48,0.03,2231000
Gambia,0.21,13,0.01,0,26.69,0.32,6.74,0.07,2.35,3.37,0.21,8.06,0.42,0.01,0.13,0.42,0,0,0.1,37,0.02,0.64,0.21,8.7,10.2,0.18,0.01,0.16,0.01,2417000
Georgia,0.15,18.43,0.17,0,27.26,1.16,1.48,0.38,6.79,8.23,0.6,0.3,0.01,0.07,1.29,0.64,0,0.01,0.27,31.57,0.03,0.89,0.27,23.3,7.9,7.04,0.09,6.81,0.15,3715000
Germany,0.65,30.27,0.3,0,12.92,1.71,2.06,0.62,13.77,12.05,0.36,0.78,0.24,0.12,1.31,0.67,0,0,0.7,19.73,0.03,1.7,0,25.7,0,2.74,0.07,2.45,0.22,83300000
Ghana,0.15,12.19,0.01,0,16.23,0.27,6.62,2.54,4.11,0.59,0.6,2.56,3.21,1.21,10.82,0.02,0.03,0,0.12,37.82,0.02,0.84,0.07,9.7,5.5,0.23,0,0.2,0.02,31073000
Greece,0.24,26.98,0.1,0,14.54,1.27,2.7,1,10.95,11.07,0.88,0.6,1.36,0.07,1.11,0.63,0,0.01,0.89,23.02,0.03,2.32,0.22,27.4,0,1.53,0.06,0.88,0.59,10700000
Grenada,0.12,30.33,0.06,0,12.24,1.86,5.97,1.45,15.39,6.58,0.46,0.58,2.7,0.57,0.68,0.12,0,0,0.04,19.67,0.03,0.78,0.37,20.2,0,0.13,0,0.13,0,113000
Guatemala,0.08,15.41,0.04,0,23.61,2.62,0.56,0.66,8.72,2.94,0.54,1.43,6.6,0.09,0.25,0.49,0,0,0.1,34.6,0.01,1.18,0.09,18.8,15.2,0.9,0.03,0.82,0.05,18066000
Guinea,0.04,9.23,0.02,0,26.1,0.43,2.44,1.3,4.11,1.48,0.76,3.54,2.16,0,3.04,0.22,0,0,0,40.78,0.01,4.24,0.11,6.6,16.5,0.12,0,0.11,0,12560000
Guinea-Bissau,0.19,10.57,0.03,0,30.77,0.27,0.41,1,6.76,2.19,0.91,1.27,1.34,0,1.88,0.08,0,0,1.89,39.43,0.01,0.79,0.22,8.2,28,0.14,0,0.13,0.02,1927000
Guyana,0.15,22.15,0.01,0,15.79,0.29,4.62,0.88,8.53,8.52,0.18,2.09,2.39,0.62,0.73,0.3,0,0,0.18,27.85,0.03,4.46,0.22,19.2,8.1,1.01,0.02,0.88,0.1,787000
Haiti,0,9.99,0.03,0,22.59,0.13,1.32,1.26,6.14,1.69,0.68,1.31,10.38,0,2.64,0.85,0,0.01,0,40.01,0.01,0.8,0.14,20.5,49.3,0.1,0,0.08,0.02,11403000
Honduras,0.11,17.38,0.02,0,23.52,0.92,0.65,0.75,9.11,6.13,0.55,0.22,6.19,0.03,0.19,0.69,0,0,0.04,32.62,0.02,0.69,0.19,19.4,12.9,1.56,0.04,0.63,0.9,9864000
Hungary,0.53,28.33,0.57,0,15.65,2.41,1.04,0.42,14.48,9.82,0.02,0.26,1,0.19,1.16,0.48,0,0,0.03,21.67,0.11,1.84,0.02,28.6,0,3.84,0.13,2.85,0.86,9767000
Iceland,0.38,35.79,0.33,0,9.38,1.22,9.4,0.64,11.71,12.51,0.62,0.51,0.16,0.13,0.57,0.92,0,0,0.18,14.22,0,0.98,0.36,23.1,0,1.64,0.01,1.62,0.01,368000
India,0.01,11.26,0.03,0,25.28,0.73,1.55,0.67,1.02,7.81,0.12,1.12,7.21,0.82,0.9,0.18,0,0.05,0.18,38.74,0,2.33,0,3.8,14.5,0.77,0.01,0.75,0.01,1400100000
Indonesia,0.01,16.16,0.02,0,27.32,1.28,10.16,0.74,2.92,1.09,0.69,2.35,0.5,0.34,0.75,0.4,0,0.02,0.1,33.84,0,1.3,0.01,6.9,8.3,0.42,0.01,0.35,0.06,271739000
Iran (Islamic Republic of),0,14.43,0.26,0,26.42,1.24,1.91,1.23,7.64,2.82,0.55,0.13,2.4,0.18,0.92,0.33,0,0.01,1.37,35.57,0.01,2.57,0,25.5,4.9,1.73,0.07,1.48,0.18,84150000
Iraq,0.01,11.19,0.03,0,33.72,2.29,0.74,0.78,5.76,2.25,0.11,0.38,1.9,0.05,0.22,0.35,0,0,0.21,38.82,0.02,0.99,0.18,27.4,29,1.58,0.03,1.51,0.04,39725000
Ireland,0.78,28.53,0.31,0,14.05,1.4,3.28,0.85,13.54,9.68,0.3,0.56,0.74,0.1,1.36,0.59,0,0,0.34,21.48,0.04,1.97,0.09,26.9,0,4.05,0.07,0.47,3.51,5003000
Israel,0.11,29.56,0.02,0,12.78,1.28,2.68,0.85,16.54,8.34,0.71,1.54,1.48,0.07,0.68,0.49,0,0,0.51,20.44,0.03,1.79,0.09,26.7,0,7.44,0.06,6.61,0.77,9216000
Italy,0.18,26.72,0.14,0,16.48,1.72,3.78,0.89,12.53,8.02,0.53,0.18,1.48,0.01,0.72,0.6,0,0,0.59,23.28,0.01,1.99,0.15,22.9,0,4.35,0.15,3.49,0.71,60296000
Jamaica,0.1,24.65,0.05,0.01,16.51,0.39,4.86,1.09,12.61,5.75,0.99,0.93,1.23,1.12,1.91,0.32,0,0,0.04,25.35,0.03,1.67,0.37,24.4,8,0.6,0.01,0.44,0.15,2809000
Japan,0.25,27.76,0.01,0.06,12.42,3.57,9.57,0.33,9.81,4.11,0.63,4.98,0.5,0.18,0.51,0.67,0.05,0.05,0.21,22.24,0.03,1.99,0.06,4.4,0,0.32,0.01,0.28,0.03,125967000
Jordan,0.01,17.46,0.03,0,24.22,0.72,1.13,0.62,10.36,4.78,0.44,1.06,2.74,0.09,0.5,0.63,0,0,0.41,32.54,0.01,2.08,0.16,33.4,12.2,3.13,0.04,2.99,0.09,10679000
Kazakhstan,0.24,28.95,0.21,0,14.04,1.33,0.66,0.52,12.48,12.86,1.41,0.43,0.16,0.03,2.37,0.44,0,0,0.32,21.05,0.03,2.32,0.15,21.3,0,1.3,0.02,1.14,0.14,18732000
Kenya,0.17,12.64,0.04,0,24.3,0.31,0.91,0.62,5.19,5.41,0.77,0.44,8.01,0.04,2.09,0.47,0,0,0.13,37.35,0.04,1.03,0.01,6,29.4,0.19,0,0.16,0.03,53528000
Kiribati,0.03,24.96,0.05,0,15.37,0.41,16.11,0.91,7.65,0.6,0.15,4.13,0.02,0.02,2.66,0.07,0,0,0.32,25.03,0,1.37,0.14,45.6,2.7,0,0,0,0,125000
"Korea, North",0.03,10.08,0,0,23.91,1.39,2.96,0.62,5.1,0.33,0.31,1.85,6.28,0,2.49,0.03,0,0,0.06,39.91,0,4.64,0.03,7.1,47.8,0,0,0,0,25779000
"Korea, South",1.04,25.33,0.18,1.07,14.48,1.67,8.35,0.47,11.43,1.64,0.98,2.92,0.35,0.06,0.36,0.23,0,0.06,0.38,24.67,0,4.33,0,4.9,0,0.16,0,0.14,0.02,51781000
Kuwait,0,23.76,0.03,0,17.54,2.69,1.62,0.92,12.21,6.65,0.56,0.48,1.84,0.41,0.94,0.62,0,0,0.41,26.25,0.01,2.7,0.39,37,2.8,3.62,0.02,3.43,0.17,4691000
Kyrgyzstan,0.05,20.23,0.1,0,21.05,0.74,0.2,0.23,6.74,11.31,1.14,0.04,1.99,0.06,2.41,0.35,0,0,0.32,29.76,0.01,3.16,0.1,15.4,7.1,1.29,0.02,1.24,0.03,6594000
Lao People's Democratic Republic,0.05,12.08,0.11,0,25.52,0.34,4.53,1.97,5.99,0.26,0.85,1.86,0.96,0.41,0.54,1.94,0.05,0,0.01,37.92,0.01,4.44,0.16,4.5,16.5,0,0,0,0,7242000
Latvia,0.61,28.58,0.73,0,14.23,1.88,3.96,0.46,10.74,10.45,0.82,0.35,0.02,0.04,2.77,0.66,0,0.01,0.31,21.42,0.03,1.8,0.14,25.7,0,3.75,0.07,3.12,0.56,1902000
Lebanon,0.05,15,0.04,0,23.27,0.46,1.69,1.23,6.96,5.46,0.38,1.26,2.87,0.1,0.98,0.74,0,0,1.24,35.01,0.01,2.97,0.28,31.3,11,4.66,0.05,2.95,1.66,6825000
Lesotho,0.27,9.54,0.01,0,32.49,0.21,0.43,0.18,5.92,1.79,1.17,0.3,4.18,0.21,1.96,0.06,0,0,0.01,40.47,0,0.71,0.09,13.5,13.1,0.44,0.01,0.13,0.3,2142000
Liberia,0.08,12.26,0.03,0,28.66,0.44,2.07,1.24,8.32,0.33,1.09,1.64,0.56,0,3.87,0.05,0.06,0,0.15,37.73,0.01,1.24,0.18,8.6,37.2,0.04,0,0.03,0,5058000
Lithuania,0.53,30.76,0.21,0,12.86,1.77,3.93,0.39,11.25,13.06,0.55,0.34,2.28,0.18,0.86,0.42,0,0,0.23,19.24,0.02,1.08,0.04,28.4,0,6.67,0.1,4.94,1.62,2794000
Luxembourg,0.59,31.77,0.25,0,10.48,2.31,3.96,0.77,14.16,10.61,0.48,0.33,0.24,0.17,0.85,2.54,0,0,0.05,18.23,0.02,1.87,0.33,24.2,0,8.15,0.09,7.66,0.4,632000
Madagascar,0.09,10.71,0.03,0,31.17,0.22,1.78,0.88,5.39,2.32,0.98,0.17,2.14,0.13,3.47,0.38,0.05,0,0.05,39.28,0,0.72,0.02,4.5,44.4,0.07,0,0.07,0,27691000
Malawi,0.15,8.42,0.1,0,23.98,0.24,2.07,1.43,4.95,0.26,0.8,3.27,6.67,0.04,4.7,0.08,0,0,0.04,41.57,0,1.18,0.02,4.7,17.5,0.14,0,0.06,0.08,19130000
Malaysia,0.08,27.37,0.06,0.01,16.61,3.57,10.56,0.41,11.36,1.53,0.27,0.63,1.05,0.93,0.37,0.19,0,0,0.15,22.63,0.01,1.77,0.44,15.3,2.5,0.73,0,0.57,0.16,32781000
Maldives,0.04,30.04,0.06,0,13.45,2.11,18.08,0.64,4.94,4.84,0.01,0.38,0.31,0.66,0.43,0.52,0.02,0.01,1.05,19.96,0.01,1.76,0.69,7.9,10.3,3.08,0.01,2.69,0.38,541000
Mali,0.24,13.66,0.02,0,27.65,0.12,1.33,0.45,5.61,5.68,0.91,1.21,3.59,0.14,0.75,0.12,0,0.01,0.37,36.35,0,1.77,0.05,7.1,6.3,0.04,0,0.03,0.01,20251000
