Country,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
France,4.16,0.79,21.71,0,7,0.61,1.82,4.88,4.4,13.78,0.19,0.3,0.15,0.1,0.02,2.7,0.29,2.61,0,0.21,0.87,5.12,28.29,23.2,0,5.2,0.12,0.37,4.71,64940000
French Polynesia,4.7,0.03,14.36,0.02,7.65,0.54,3.48,4.35,7.08,2.94,3.26,0.27,3.18,0.15,0.01,3.54,0.13,2.87,0.68,0.04,0.97,4.1,35.66,0,4.2,0,0,0,0,280000
Gabon,6.19,0.01,8.18,0,9.12,0.07,2.26,9.03,4.32,0.95,0.48,0.58,0.85,0.01,0,11.87,0.02,1.25,0.12,0.01,0.48,2.4,41.8,13.4,10.5,0.51,0,0.48,0.03,2231000
Gambia,2.84,0.01,10.14,0,21.89,0.2,3.92,0.87,1.11,4.82,0.98,0.08,3.16,0.13,0,0.86,0.27,4.12,0,0.09,2.2,2.46,39.83,8.7,10.2,0.18,0.01,0.16,0.01,2417000
Georgia,2.53,0.24,15.53,0,15.63,0.5,0.66,3.17,2.62,11.36,0.79,0.15,0.08,0,0.02,3.75,0.24,3.31,0,0.16,0.67,4.1,34.46,23.3,7.9,7.04,0.09,6.81,0.15,3715000
Germany,6.77,0.67,20.85,0,6.04,0.59,0.68,3.61,4.65,14.18,0,0.07,0.17,0.04,0.04,3.57,0.35,2.51,0,0.19,0.81,5.05,29.14,25.7,0,2.74,0.07,2.45,0.22,83300000
Ghana,0.94,0.01,2.9,0,6.32,0.07,1.5,10.43,0.81,0.42,0.17,0.09,0.8,0.39,0.24,24.63,0.01,0.81,0.28,0.04,0.37,1.68,47.1,9.7,5.5,0.23,0,0.2,0.02,31073000
Greece,2.29,0.21,17.69,0,7.28,0.45,1.03,6.33,3.78,12.02,0.06,0.19,0.81,0.25,0.02,3.13,0.26,1.77,0,0.67,1.52,7.91,32.3,27.4,0,1.53,0.06,0.88,0.59,10700000
Grenada,3.13,0.13,12.13,0,7.66,0.92,2.58,11.06,5.65,2.72,1.29,0.13,1.38,0.64,0.32,2.22,0.11,5.45,0,0.01,1,3.61,37.86,20.2,0,0.13,0,0.13,0,113000
Guatemala,1.7,0.1,10.38,0,15.16,1.47,0.28,6.71,3.96,4.41,0.03,0.16,0.53,1.65,0.04,1.33,0.29,5.31,0,0.2,0.87,5.8,39.62,18.8,15.2,0.9,0.03,0.82,0.05,18066000
Guinea,0.31,0.02,3.88,0,17.29,0.16,0.89,7.94,1.16,1.47,0.23,0.17,0.95,0.39,0,11.8,0.12,1.34,0,0,1.33,4.43,46.12,6.6,16.5,0.12,0,0.11,0,12560000
Guinea-Bissau,2.46,0.04,4.93,0,21.61,0.1,0.17,6.37,2.22,2.19,0.53,0.21,0.33,0.25,0,8.11,0.02,0.79,0,0.45,1.8,2.36,45.07,8.2,28,0.14,0,0.13,0.02,1927000
Guyana,1.87,0.02,9.12,0,9.78,0.1,1.7,5.8,2.52,4.73,0.35,0.04,1.84,0.39,0.19,1.84,0.07,3.23,0,0.04,0.28,15.21,40.87,19.2,8.1,1.01,0.02,0.88,0.1,787000
Haiti,1.27,0.04,3.6,0,13.42,0.05,0.51,12.03,1.97,0.88,0.33,0.15,0.48,2.01,0,11.48,0.38,2.1,0,0,0.87,2.03,46.4,20.5,49.3,0.1,0,0.08,0.02,11403000
Honduras,2.07,0.14,13.6,0,14.17,0.46,0.33,6.85,3.51,9.02,0.69,0.15,0.17,1.4,0.01,0.68,0.47,5.96,0,0.03,1.25,2.66,36.39,19.4,12.9,1.56,0.04,0.63,0.9,9864000
Hungary,6.75,1.06,20.03,0,7.59,0.89,0.41,3.09,5.2,12.46,0,0.01,0.07,0.19,0.18,3.05,0.1,2.54,0,0.02,0.72,5.68,29.96,28.6,0,3.84,0.13,2.85,0.86,9767000
Iceland,4.75,0.95,23.97,0,4.12,0.56,4.61,4.84,4.63,13,1.4,0.22,0.18,0.04,0.07,1.99,0.46,3.95,0,0.08,0.47,3.69,26.03,23.1,0,1.64,0.01,1.62,0.01,368000
India,0.2,0,11.34,0,17.38,0.31,0.65,5.43,0.36,9.99,0,0.03,0.73,1.57,0.33,2.79,0.08,1.75,0,0.15,0.75,7.52,38.66,3.8,14.5,0.77,0.01,0.75,0.01,1400100000
Indonesia,0.08,0.03,6.26,0,24.39,0.49,3.94,5.51,1.03,0.59,0,0.17,2.21,0.1,0.15,4.63,0.04,1.85,0,0.06,0.86,3.86,43.74,6.9,8.3,0.42,0.01,0.35,0.06,271739000
Iran (Islamic Republic of),0,0.54,7.93,0,14.01,0.49,0.78,7.92,2.4,3.58,0,0.14,0.05,0.47,0.06,3.29,0.13,2.2,0,0.64,0.77,12.52,42.07,25.5,4.9,1.73,0.07,1.48,0.18,84150000
Iraq,0.19,0.04,6.28,0,24.09,1.25,0.45,6.5,2.52,1.99,0.4,0.04,0.3,0.48,0.03,1.08,0.18,3.38,0,0.13,2.01,4.96,43.72,27.4,29,1.58,0.03,1.51,0.04,39725000
Ireland,7.57,0.87,18.57,0,6.31,0.47,1.19,3.4,4.01,11.95,0.3,0.08,0.17,0.13,0.04,3.54,0.19,4.01,0,0.08,0.75,4.95,31.42,26.9,0,4.05,0.07,0.47,3.51,5003000
Israel,1.29,0.1,18.75,0,7.63,0.57,1.47,6.37,5.5,10.91,0.26,0.2,0.52,0.36,0.03,2,0.26,1.77,0,0.23,1.67,8.86,31.25,26.7,0,7.44,0.06,6.61,0.77,9216000
Italy,3.19,0.28,19.03,0,8.54,0.62,1.58,6.02,4.3,12.13,0.04,0.12,0.18,0.28,0.01,1.9,0.29,1.72,0,0.42,1.42,6.95,30.97,22.9,0,4.35,0.15,3.49,0.71,60296000
Jamaica,2.46,0.21,12,0.01,8.5,0.15,1.87,8.07,4.34,5.22,0.7,0.21,1,0.22,0.38,4.58,0.17,4.69,0,0.01,0.76,6.48,38,24.4,8,0.6,0.01,0.44,0.15,2809000
Japan,4.04,0.08,15.32,0.11,12.17,1.7,3.93,2.86,4.26,5.06,0.3,0.19,0.77,0.13,0.1,2.21,0.37,2.21,0.23,0.08,1.34,7.87,34.68,4.4,0,0.32,0.01,0.28,0.03,125967000
